Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,URL
Spectre 2000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/spectre-2000.c3540
Spectre 3000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/spectre-3000.c3539
All-In-Wonder Radeon 8500,R200,"Nov 14th, 2001",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4,/gpu-specs/all-in-wonder-radeon-8500.c865
All-In-Wonder Radeon 8500DV,R200,"Aug 30th, 2001",AGP 8x,"64 MB, DDR, 128 bit",230 MHz,190 MHz,4 / 2 / 8 / 4,/gpu-specs/all-in-wonder-radeon-8500dv.c864
Fire GL4,RC1000,"Mar 14th, 2001",AGP Pro 8x,"128 MB, DDR, 256 bit",150 MHz,150 MHz,2 / 1 / 4 / 1,/gpu-specs/fire-gl4.c3660
FireGL 8700,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,270 MHz,4 / 2 / 8 / 4,/gpu-specs/firegl-8700.c1382
FireGL 8800,R200,"Aug 14th, 2001",AGP 4x,"128 MB, DDR, 128 bit",300 MHz,290 MHz,4 / 2 / 8 / 4,/gpu-specs/firegl-8800.c1381
Mobility FireGL 7800,M7,"Sep 29th, 2001",AGP 4x,"64 MB, DDR, 128 bit",280 MHz,200 MHz,2 / 0 / 2 / 2,/gpu-specs/mobility-firegl-7800.c1589
Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",280 MHz,200 MHz,2 / 0 / 2 / 1,/gpu-specs/mobility-radeon-7500.c1218
Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1,/gpu-specs/mobility-radeon-7500.c1214
Mobility Radeon 7500C,M7,"Dec 1st, 2001",AGP 4x,"16 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1,/gpu-specs/mobility-radeon-7500c.c1590
Radeon 7000,RV100,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1,/gpu-specs/radeon-7000.c648
Radeon 7000 PCI,RV100,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",133 MHz,133 MHz,1 / 0 / 3 / 1,/gpu-specs/radeon-7000-pci.c649
Radeon 7500,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",290 MHz,230 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7500.c645
Radeon 7500 LE,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,175 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7500-le.c647
Radeon 8500,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4,/gpu-specs/radeon-8500.c93
Radeon DDR VIVO,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",183 MHz,183 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-ddr-vivo.c1153
Radeon DDR VIVO OEM,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-ddr-vivo-oem.c841
Radeon DDR VIVO SE,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",187 MHz,180 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-ddr-vivo-se.c843
Radeon LE,Rage 6,"May 1st, 2001",AGP 4x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-le.c650
Radeon VE AGP,Rage 6,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1,/gpu-specs/radeon-ve-agp.c1158
Radeon VE PCI,Rage 6,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1,/gpu-specs/radeon-ve-pci.c1157
i830M Graphics,Almador,2001,FSB,System Shared,166 MHz,System Shared,2 / 0 / 1 / 1,/gpu-specs/i830m-graphics.c1910
Millennium G550,Condor,"Nov 26th, 2001",AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g550.c1920
Millennium G550 PCIe,Condor,"Nov 26th, 2001",PCIe 1.0 x1,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g550-pcie.c1921
GeForce2 Go 100,NV11B,"Feb 6th, 2001",AGP 4x,"16 MB, DDR, 32 bit",125 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-go-100.c1559
GeForce2 Go 200,NV11B,"Feb 6th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-go-200.c1560
GeForce2 MX + nForce 220,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-nforce-220.c2013
GeForce2 MX + nForce 420,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-nforce-420.c3259
GeForce2 MX 200,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-200.c788
GeForce2 MX 200 LP,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-200-lp.c2131
GeForce2 MX 200 PCI,NV11B,"Mar 3rd, 2001",PCI,"64 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-200-pci.c787
GeForce2 MX 400,NV11B,"Mar 3rd, 2001",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-400.c790
GeForce2 MX 400 PCI,NV11B,"Mar 3rd, 2001",PCI,"32 MB, DDR, 64 bit",200 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce2-mx-400-pci.c927
GeForce2 Ti,NV15,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 0 / 8 / 4,/gpu-specs/geforce2-ti.c794
GeForce3,NV20,"Feb 27th, 2001",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,230 MHz,4 / 1 / 8 / 4,/gpu-specs/geforce3.c738
GeForce3 Ti200,NV20,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",175 MHz,200 MHz,4 / 1 / 8 / 4,/gpu-specs/geforce3-ti200.c742
GeForce3 Ti500,NV20,"Oct 1st, 2001",AGP 4x,"64 MB, DDR, 128 bit",240 MHz,250 MHz,4 / 1 / 8 / 4,/gpu-specs/geforce3-ti500.c741
Quadro DCC,NV20,"May 14th, 2001",AGP 4x,"64 MB, SDR, 128 bit",200 MHz,230 MHz,4 / 1 / 4 / 4,/gpu-specs/quadro-dcc.c2371
Quadro2 Go,NV11B,"Aug 14th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,181 MHz,2 / 0 / 2 / 2,/gpu-specs/quadro2-go.c3385
Quadro2 Pro,NV15,"Mar 22nd, 2001",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,250 MHz,4 / 0 / 8 / 4,/gpu-specs/quadro2-pro.c2372
Xbox GPU,NV2A,"Nov 15th, 2001",AGP 4x,"64 MB, DDR, 128 bit",233 MHz,200 MHz,4 / 2 / 8 / 4,/gpu-specs/xbox-gpu.c1866
Playstation 2 GPU 180nm,GS-180nm,"Apr 18th, 2001",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16,/gpu-specs/playstation-2-gpu-180nm.c3705
All-In-Wonder 9500,R300,"Jul 1st, 2002",AGP 8x,"128 MB, DDR, 128 bit",277 MHz,270 MHz,4 / 4 / 4 / 4,/gpu-specs/all-in-wonder-9500.c1858
All-In-Wonder Radeon 7500,RV200,"Apr 16th, 2002",AGP 8x,"64 MB, DDR, 128 bit",260 MHz,180 MHz,2 / 0 / 6 / 2,/gpu-specs/all-in-wonder-radeon-7500.c863
All-In-Wonder Radeon 7500 VE,RV200,"Apr 16th, 2002",PCI,"64 MB, DDR, 128 bit",260 MHz,250 MHz,2 / 0 / 6 / 2,/gpu-specs/all-in-wonder-radeon-7500-ve.c3651
FireGL 9500 Z1-128,R300,"Oct 1st, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,4 / 4 / 4 / 4,/gpu-specs/firegl-9500-z1-128.c1383
FireGL 9700 X1-128,R300,"Jul 23rd, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8,/gpu-specs/firegl-9700-x1-128.c1379
FireGL 9700 X1-256,R300,"Jul 23rd, 2002",AGP 8x,"256 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8,/gpu-specs/firegl-9700-x1-256.c1378
FireGL 9700 X1-256p,R300,"Jul 23rd, 2002",AGP Pro 8x,"256 MB, DDR, 256 bit",324 MHz,276 MHz,8 / 4 / 8 / 8,/gpu-specs/firegl-9700-x1-256p.c3650
Mobility FireGL 9000,M9,2002,AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/mobility-firegl-9000.c1659
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/mobility-radeon-9000.c2182
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"32 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/mobility-radeon-9000.c2180
Mobility Radeon 9000,M9,"Sep 1st, 2002",AGP 4x,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/mobility-radeon-9000.c1595
Mobility Radeon-P,M6,2002,AGP 4x,"32 MB, DDR, 64 bit",166 MHz,166 MHz,1 / 0 / 3 / 1,/gpu-specs/mobility-radeon-p.c1213
Radeon 7500 Mac Edition,RV200,"Apr 16th, 2002",AGP 4x,"32 MB, DDR, 128 bit",260 MHz,180 MHz,2 / 1 / 6 / 2,/gpu-specs/radeon-7500-mac-edition.c646
Radeon 8500 LE,R200,"Feb 4th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4,/gpu-specs/radeon-8500-le.c94
Radeon 8500 X4,R200,Never Released,PCI-X,"64 MB, DDR, 64 bit",250 MHz,250 MHz,4 / 2 / 8 / 4,/gpu-specs/radeon-8500-x4.c2325
Radeon 8500 XT,R250,Never Released,AGP 4x,"128 MB, DDR, 128 bit",300 MHz,300 MHz,4 / 2 / 8 / 4,/gpu-specs/radeon-8500-xt.c1991
Radeon 9000,RV250,"Jul 1st, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/radeon-9000.c72
Radeon 9000 LE,RV250,"Jul 1st, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,/gpu-specs/radeon-9000-le.c932
Radeon 9000 PRO,RV250,"Jul 18th, 2002",AGP 4x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 1 / 4 / 4,/gpu-specs/radeon-9000-pro.c80
Radeon 9500 PRO,R300,"Oct 1st, 2002",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,270 MHz,8 / 4 / 8 / 8,/gpu-specs/radeon-9500-pro.c52
Radeon 9700,R300,"Aug 19th, 2002",AGP 8x,"128 MB, DDR, 256 bit",275 MHz,270 MHz,8 / 4 / 8 / 8,/gpu-specs/radeon-9700.c49
Radeon 9700 PRO,R300,"Aug 19th, 2002",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8,/gpu-specs/radeon-9700-pro.c50
Radeon 9700 PRO X4,R300,"Aug 19th, 2002",PCI,"128 MB, DDR, 256 bit",325 MHz,310 MHz,8 / 4 / 8 / 8,/gpu-specs/radeon-9700-pro-x4.c1946
Radeon IGP 320,RS100,"Oct 5th, 2002",AGP 4x,System Shared,160 MHz,System Shared,1 / 0 / 1 / 1,/gpu-specs/radeon-igp-320.c3362
Radeon IGP 320M,RS100,"Oct 5th, 2002",AGP 4x,System Shared,160 MHz,System Shared,1 / 0 / 1 / 1,/gpu-specs/radeon-igp-320m.c1212
Radeon IGP 330M,RS200,"May 1st, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2,/gpu-specs/radeon-igp-330m.c673
Radeon IGP 340,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2,/gpu-specs/radeon-igp-340.c3361
Radeon IGP 340M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2,/gpu-specs/radeon-igp-340m.c674
Radeon IGP 345M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,2 / 1 / 2 / 2,/gpu-specs/radeon-igp-345m.c1591
Radeon IGP 350M,RS200,"Oct 5th, 2002",AGP 4x,System Shared,183 MHz,System Shared,0 / 1 / 2 / 2,/gpu-specs/radeon-igp-350m.c1592
Extreme Graphics,Brookdale,2002,FSB,System Shared,200 MHz,System Shared,2 / 0 / 1 / 1,/gpu-specs/extreme-graphics.c1283
i830MG Graphics,Almador,2002,FSB,System Shared,100 MHz,System Shared,2 / 0 / 1 / 1,/gpu-specs/i830mg-graphics.c1284
Millennium G450 x2 MMS,Condor,"Jun 19th, 2002",PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g450-x2-mms.c3528
Millennium G450 x4 MMS,Condor,"Jun 19th, 2002",PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,/gpu-specs/millennium-g450-x4-mms.c1923
Parhelia 128 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"128 MB, DDR, 256 bit",200 MHz,250 MHz,4 / 4 / 16 / 4,/gpu-specs/parhelia-128-mb.c97
Parhelia 128 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"128 MB, DDR, 256 bit",220 MHz,275 MHz,4 / 4 / 16 / 4,/gpu-specs/parhelia-128-mb.c96
Parhelia 256 MB,Parhelia-512,"Jun 25th, 2002",AGP 4x,"256 MB, DDR, 256 bit",200 MHz,250 MHz,4 / 4 / 16 / 4,/gpu-specs/parhelia-256-mb.c98
GeForce4 410 Go,NV17,"Feb 6th, 2002",AGP 4x,"16 MB, DDR, 64 bit",200 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-410-go.c1825
GeForce4 420 Go,NV17,"Feb 6th, 2002",AGP 4x,"32 MB, DDR, 64 bit",200 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-420-go.c1553
GeForce4 440 Go,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",220 MHz,220 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-440-go.c1555
GeForce4 448 Go,NV18,"Mar 1st, 2002",AGP 8x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-448-go.c1826
GeForce4 460 Go,NV17,"Oct 14th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-460-go.c1556
GeForce4 488 Go,NV18,"Mar 1st, 2002",AGP 8x,"64 MB, DDR, 128 bit",300 MHz,275 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-488-go.c1557
GeForce4 Go 4200,NV28,"Nov 14th, 2002",AGP 8x,"64 MB, DDR, 64 bit",200 MHz,200 MHz,4 / 2 / 8 / 4,/gpu-specs/geforce4-go-4200.c1558
GeForce4 MX + nForce2,Crush17,"Oct 1st, 2002",AGP 4x,System Shared,200 MHz,System Shared,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-nforce2.c2014
GeForce4 MX 420,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, SDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-420.c777
GeForce4 MX 420 PCI,NV17,"Feb 6th, 2002",PCI,"64 MB, SDR, 64 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-420-pci.c778
GeForce4 MX 440,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440.c781
GeForce4 MX 440 Mac Edition,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-mac-edition.c3374
GeForce4 MX 440-8x,NV18,"Sep 25th, 2002",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,250 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-8x.c783
GeForce4 MX 440-8x,NV18,"Sep 25th, 2002",AGP 8x,"32 MB, DDR, 32 bit",275 MHz,250 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-8x.c2132
GeForce4 MX 440-SE,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-se.c780
GeForce4 MX 440-SE,NV18,"Feb 6th, 2002",AGP 8x,"64 MB, DDR, 64 bit",250 MHz,200 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-se.c2269
GeForce4 MX 440-SE,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-440-se.c2293
GeForce4 MX 460,NV17,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",300 MHz,225 MHz,2 / 0 / 4 / 2,/gpu-specs/geforce4-mx-460.c786
GeForce4 Ti 4200,NV25,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4,/gpu-specs/geforce4-ti-4200.c2133
GeForce4 Ti 4200,NV25,"Feb 6th, 2002",AGP 4x,"64 MB, DDR, 64 bit",250 MHz,250 MHz,4 / 2 / 8 / 4,/gpu-specs/geforce4-ti-4200.c2134
